Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ESTADUAL MARIA MONTESSORI;28000315;SE;Feira Nova;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA CONEGO MIGUEL BARBOSA, 80 CENTRO. 49670-000 Feira Nova - SE.";(79) 999340390;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.26495468;-37.30805438
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOSE CORREIA DANTAS;28000374;SE;Feira Nova;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BANDEIRA, S/N ZONA RURAL. 49670-000 Feira Nova - SE.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.29463923;-37.36962087
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOSE JOAQUIM DOS SANTOS;28000382;SE;Feira Nova;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO UMBUZEIRO, SN ZONA RURAL. 49670-000 Feira Nova - SE.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.2359192;-37.3566256
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MARIA EDINALVA SANTOS;28000390;SE;Feira Nova;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA MANOEL LEONCIO DE SOUZA, SN CENTRO. 49670-000 Feira Nova - SE.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-10.2647405;-37.3162519
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOSE ALVES DE FRANCA;28000412;SE;Feira Nova;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO LAGOA DOS PORCOS, SN ZONA RURAL. 49670-000 Feira Nova - SE.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.242564;-37.3805742
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL ANA MARIA DE RESENDE;28000471;SE;Gararu;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO JIBOIA, SN ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.0137366;-37.2458563
ESCOLA PARALISADA;ESCOLA MUNICIPAL ANTONIO FREITAS MELO;28000480;SE;Gararu;Rural;Não Informado;Pública;"POVOADO BARRIGUDA, SN CASA. ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;;;;;-10.05307185;-37.26350622
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DR OLIVEIRA RIBEIRO;28000510;SE;Gararu;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO LAGOA RASA, SN ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.04057985;-37.34939838
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL ELYSIO ARAUJO;28000528;SE;Gararu;Rural;A escola não está em área de localização diferenciada;Pública;"POVODO PALESTINA, SN ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-10.0299329;-37.2029446
ESCOLA PARALISADA;ESCOLA MUNICIPAL JOAO VIEIRA DANTAS;28000587;SE;Gararu;Rural;Não Informado;Pública;"POVOADO PIAS, SN ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;;;;;-10.01449444;-37.24648375
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOSE MARIA DE RESENDE;28000617;SE;Gararu;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO LAGOA DO PORCO, SN ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-9.97903358;-37.19391128
ESCOLA PARALISADA;ESCOLA MUNICIPAL MANOEL HONORATO DE ALBUQUERQUE;28000625;SE;Gararu;Rural;Não Informado;Pública;"POVOADO GENIPATUBA, SN RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;;;;;-9.93851569;-37.11325793
ESCOLA PARALISADA;ESCOLA MUNICIPAL MIGUEL RESENDE;28000641;SE;Gararu;Rural;Não Informado;Pública;"POVOADO JOAO PEREIRA, SN CASA. ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;;;;;-10.0295525;-37.0679103
ESCOLA PARALISADA;ESCOLA MUNICIPAL MARIA DAS DORES MELO;28000692;SE;Gararu;Rural;Não Informado;Pública;"POVOADO OITEIRO, SN PREDIO. ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;;;;;-9.9599824;-37.0948059
ESCOLA PARALISADA;ESCOLA MUNICIPAL SILVESTRE VIEIRA DE MATOS;28000706;SE;Gararu;Rural;Não Informado;Pública;"POVOADO JARAMATAIA, SN 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;;;;;-10.07148212;-37.2162167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MESSIAS ALVES DA SILVA;28000722;SE;Gararu;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO LAGOA FUNDA, SN PREDIO. ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.01233833;-36.96024833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL MONSENHOR RANGEL;28000749;SE;Gararu;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SANTA LUZIA, 61 CENTRO. CENTRO. 49830-000 Gararu - SE.";(79) 33541393;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-9.96777221;-37.08324019
ESCOLA PARALISADA;ESCOLA MUNICIPAL IRMA MARIA HERMINIA;28000790;SE;Gararu;Rural;Não Informado;Pública;"ASSENTAMENTO MONTE SANTO, SN ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;;;;;-9.922034503;-37.20823746
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PADRE JOSE THOMAS DE AQUINO MENEZES;28000846;SE;Gararu;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA 15 DE MARCO, SN CENTRO. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-9.9673838;-37.0820526
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ESTADUAL NELSON REZENDE DE ALBUQUERQUE;28000897;SE;Gararu;Rural;A escola não está em área de localização diferenciada;Pública;"PRACA LOURIVAL BATISTA, S/N CENTRO. 49830-000 Gararu - SE.";(79) 33545041;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-10.06969654;-37.30519229
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MARIA DA CONCEICAO SOUZA PINTO;28000935;SE;Gararu;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO VARZEA NOVA, SN ZONA RURAL. 49830-000 Gararu - SE.";(79) 33541121;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-10.13222401;-37.2497853
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ESTADUAL MANOEL ALCINO DO NASCIMENTO;28000951;SE;Gracho Cardoso;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA DEPUTADO ANTONIO TORRES, SN CENTRO. 49860-000 Gracho Cardoso - SE.";(79) 999156891;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-10.2305591;-37.1959053
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL JOSE EUNAPIO DOS SANTOS;28000986;SE;Gracho Cardoso;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO QUEIMADA GRANDE, 49860-000 Gracho Cardoso - SE.";(79) 998920554;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.2741459;-37.1591981
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL FRANCISCO SALES FERREIRA;28000994;SE;Gracho Cardoso;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO QUINTAS, 49860-000 Gracho Cardoso - SE.";(79) 999012391;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.1620605;-37.3051894
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JUDITE SANTOS;28001010;SE;Gracho Cardoso;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO GUEDES, 49860-000 Gracho Cardoso - SE.";(79) 999012391;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.18745279;-37.15864677
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC RURAL PROF BERNADETE ANDRADE MELO;28001044;SE;Gracho Cardoso;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO RIACHO GRANDE, 49860-000 Gracho Cardoso - SE.";(79) 999220461;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.1924099;-37.3227763
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL DJALMA SANTANA ARAGAO;28001052;SE;Gracho Cardoso;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO IMBIRA, 49860-000 Gracho Cardoso - SE.";(79) 999220461;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.22464493;-37.27072681
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL PROFª Mª ODETE DE OLIVEIRA ROCHA;28001060;SE;Gracho Cardoso;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO GAVIAO, 49860-000 Gracho Cardoso - SE.";(79) 998681965;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.26390262;-37.20232495
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL JOAO BATISTA DO NASCIMENTO;28001087;SE;Gracho Cardoso;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO TRES BARRAS, 49860-000 Gracho Cardoso - SE.";(79) 999220461;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.1912332;-37.223239
ESCOLA PARALISADA;ESCOLA MUL JOAO DE OLIVEIRA SA;28001095;SE;Gracho Cardoso;Rural;Não Informado;Pública;"POVOADO QUEIMADA CARDEAL, SN 49860-000 Gracho Cardoso - SE.";(79) 33191158;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;ESCOLA MUL MARIA INES SANTOS;28001109;SE;Gracho Cardoso;Rural;Não Informado;Pública;"POVOADO LAGOA DO RACHO, 49860-000 Gracho Cardoso - SE.";(79) 999012391;Municipal;Não Informado;Não;;;;;-10.17380454;-37.18884249
ESCOLA PARALISADA;ESCOLA MUL STO ANTONIO;28001117;SE;Gracho Cardoso;Rural;Não Informado;Pública;"POVOADO PONTO CHIQUE, 49860-000 Gracho Cardoso - SE.";(79) 999012391;Municipal;Não Informado;Não;;;;;-10.2425967;-37.1472458
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DR LOURIVAL BAPTISTA;28001125;SE;Gracho Cardoso;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DA GLORIA, S/N CENTRO. 49860-000 Gracho Cardoso - SE.";(79) 996356611;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-10.2318047;-37.1986795
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JD DE INFANCIA ADNAN GARCIA;28001133;SE;Gracho Cardoso;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA 1º DE FEVEREIRO, S/N CENTRO. 49860-000 Gracho Cardoso - SE.";(79) 999517972;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-10.2294359;-37.19828496
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EXCELENCIA MARIA DAS GRACAS MENEZES MOURA;28001150;SE;Itabi;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PROVIDENCIA, 281 CENTRO. 49870-000 Itabi - SE.";(79) 33141285;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.12935241;-37.10480076
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL ANTONIO BATISTA DE MELO;28001168;SE;Itabi;Rural;A escola não está em área de localização diferenciada;Pública;"OITEIRO ALTO, POVOADO. 49870-000 Itabi - SE.";(79) 33141208;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.07337903;-37.1788889
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL ARNALDO GARCEZ;28001184;SE;Itabi;Rural;A escola não está em área de localização diferenciada;Pública;"BOA HORA, POVOADO. 49870-000 Itabi - SE.";(79) 33141208;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-10.08807946;-37.13935507
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL PEDRO MARINHO DOS SANTOS;28001257;SE;Itabi;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO MELANCIA, POVOADO. 49870-000 Itabi - SE.";(79) 33141208;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.08394521;-37.20565994
ESCOLA PARALISADA;ESC MUL ROSENDO MAXIMINIO DOS SANTOS;28001265;SE;Itabi;Urbana;Não Informado;Pública;"RUA FLORESTA, MATIAS. 49870-000 Itabi - SE.";(79) 33141208;Municipal;Não Informado;Não;;;;;-10.12482789;-37.09698179
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL PROFª MARIANA M DE SANTANA;28001311;SE;Itabi;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA FRANCISCO VIEIRA DE MENEZES, 17 CENTRO. 49870-000 Itabi - SE.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";;-10.1262422651052;-37.1036005485803
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL MANOEL CONDE SOBRAL;28001354;SE;Itabi;Rural;A escola não está em área de localização diferenciada;Pública;"MATA GRANDE, POVOADO. 49870-000 Itabi - SE.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-10.15212847;-37.13611538
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL DR PASSOS PORTO;28001389;SE;Monte Alegre de Sergipe;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO LAGOA DO ROCADO, ZONA RURAL. 49690-000 Monte Alegre de Sergipe - SE.";(79) 999598978;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-10.07747213;-37.46862166
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EXCELENCIA 28 DE JANEIRO;28001400;SE;Monte Alegre de Sergipe;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA MANOEL ELIGIO DA MOTA, 946 ESCOLA. CENTRO. 49690-000 Monte Alegre de Sergipe - SE.";(79) 998919107;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Médio;;-10.02857626;-37.56021249
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL DR LUIZ GARCIA;28001443;SE;Monte Alegre de Sergipe;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO UNIAO DOS CONSELHEIROS, ZONA RURAL. 49690-000 Monte Alegre de Sergipe - SE.";(79) 998019848;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-10.05676748;-37.65206276
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL ANTONIO BARBOSA;28001451;SE;Monte Alegre de Sergipe;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BAIXA DA COXA, ZONA RURAL. 49690-000 Monte Alegre de Sergipe - SE.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-10.07607515;-37.51284555
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL PROFESSORA GILDETE DOS REIS LIMA;28001494;SE;Monte Alegre de Sergipe;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE AUGUSTO DA SILVA, 299 PREDIO ESCOLAR. CENTRO. 49690-000 Monte Alegre de Sergipe - SE.";(79) 999604831;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-10.02768985;-37.56227018
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL JOSE ROLLEMBERG LEITE;28001532;SE;Monte Alegre de Sergipe;Rural;A escola não está em área de localização diferenciada;Pública;"ASSENTAMENTO 1º DE MAIO, ZONA RURAL. 49690-000 Monte Alegre de Sergipe - SE.";(79) 998258757;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";"Atendimento Educacional Especializado, Atividade Complementar";-10.1015565;-37.723508
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL JOSE INACIO DE FARIAS;28001630;SE;Monte Alegre de Sergipe;Urbana;A escola não está em área de localização diferenciada;Pública;"PCA. DOM PEDRO II, 284 PREDIO. CENTRO. 49690-000 Monte Alegre de Sergipe - SE.";(79) 998636112;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.02922312;-37.56296296
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JARDIM DE INFANCIA IVANICE PEREIRA DOS SANTOS;28001648;SE;Monte Alegre de Sergipe;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE AUGUSTO DA SILVA, SN CENTRO. 49690-000 Monte Alegre de Sergipe - SE.";(79) 999767922;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atividade Complementar;-10.03055171;-37.5629796
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO EDUCAR;28001656;SE;Nossa Senhora da Glória;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA LOURIVAL BAPTISTA, 256 PREDIO. CENTRO. 49680-000 Nossa Senhora da Glória - SE.";(79) 34111107;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-10.21960246;-37.42171003
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EDUCANDARIO SAO FRANCISCO DE ASSIS;28001672;SE;Nossa Senhora da Glória;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO FRANCISCO DE ASSIS, S/N ESCOLA. CENTRO. 49680-000 Nossa Senhora da Glória - SE.";(79) 999655742;Municipal;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-10.22023;-37.419
