Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
" Competência: SET/2025, AGO/2025."
Estado: SE.
"Município: AMPARO DE SÃO FRANCISCO, AQUIDABÃ, ARACAJU, ARAUÁ, AREIA BRANCA, BARRA DOS COQUEIROS, BOQUIM, BREJO GRANDE, CAMPO DO BRITO, CANHOBA, CANINDÉ DE SÃO FRANCISCO, CAPELA, CARIRA, CARMÓPOLIS, CEDRO DE SÃO JOÃO, CRISTINÁPOLIS, CUMBE, DIVINA PASTORA, ESTÂNCIA, FEIRA NOVA, FREI PAULO, GARARU, GENERAL MAYNARD, GRACHO CARDOSO, ILHA DAS FLORES, INDIAROBA, ITABAIANA, ITABAIANINHA, ITABI, ITAPORANGA D'AJUDA, JAPARATUBA, JAPOATÃ, LAGARTO, LARANJEIRAS, MACAMBIRA, MALHADA DOS BOIS, MALHADOR, MARUIM, MOITA BONITA, MONTE ALEGRE DE SERGIPE, MURIBECA, NEÓPOLIS, NOSSA SENHORA APARECIDA, NOSSA SENHORA DA GLÓRIA, NOSSA SENHORA DAS DORES, NOSSA SENHORA DE LOURDES, NOSSA SENHORA DO SOCORRO, PACATUBA, PEDRA MOLE, PEDRINHAS, PINHÃO, PIRAMBU, POÇO REDONDO, POÇO VERDE, PORTO DA FOLHA, PROPRIÁ, RIACHÃO DO DANTAS, RIACHUELO, RIBEIRÓPOLIS, ROSÁRIO DO CATETE, SALGADO, SANTA LUZIA DO ITANHY, SANTA ROSA DE LIMA, SANTANA DO SÃO FRANCISCO, SANTO AMARO DAS BROTAS, SÃO CRISTÓVÃO, SÃO DOMINGOS, SÃO FRANCISCO, SÃO MIGUEL DO ALEIXO, SIMÃO DIAS, SIRIRI, TELHA, TOBIAS BARRETO, TOMAR DO GERU, UMBAÚBA."
"Temas para Saúde: Agravos negligenciados, Alimentação saudável, Autocuidado de pessoas com doenças crônicas, Ações de combate ao Aedes aegypti, Cidadania e direitos humanos, Dependência química / tabaco / álcool / outras drogas, Envelhecimento / Climatério / Andropausa / Etc, Plantas medicinais / fitoterapia, Prevenção da violência e promoção da cultura da paz, Saúde ambiental, Saúde bucal, Saúde do trabalhador, Saúde mental, Saúde sexual e reprodutiva, Semana saúde na escola."
"Programa Saúde na Escola: Educação, Saúde."
Nível: INEP (Escolas/Creche).
Tipo Informação: Quantidade de Atividade Coletiva


Uf;Ibge;Municipio;Unidade de Saúde - CNES;Tipo Unidade;Desc Unidade;Equipe - INE;Tipo Equipe;Desc Equipe;INEP (Escolas/Creche);Agravos negligenciados;Alimentação saudável;Autocuidado de pessoas com doe;Ações de combate ao Aedes aegy;Cidadania e direitos humanos;Dependência química / tabaco /;Envelhecimento / Climatério / ;Plantas medicinais / fitoterap;Prevenção da violência e promo;Saúde ambiental;Saúde bucal;Saúde do trabalhador;Saúde mental;Saúde sexual e reprodutiva;Semana saúde na escola;
SE;280120;CANINDÉ DE SÃO FRANCISCO;2477122;02;CENTRO DE SAUDE/UNIDADE BASICA;0000173770;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28026616;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280570;PROPRIÁ;2422565;02;CENTRO DE SAUDE/UNIDADE BASICA;0001977482;71;ESB - EQUIPE DE SAUDE BUCAL;28013778;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;
SE;280020;AQUIDABÃ;2422670;02;CENTRO DE SAUDE/UNIDADE BASICA;0000171727;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28005260;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;
SE;280670;SÃO CRISTÓVÃO;2423219;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178152;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28028597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
SE;280230;FREI PAULO;2423618;02;CENTRO DE SAUDE/UNIDADE BASICA;0001766325;71;ESB - EQUIPE DE SAUDE BUCAL;28029801;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;
SE;280280;INDIAROBA;2423138;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174629;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28025202;0;2;0;6;0;0;0;0;0;0;0;0;0;5;1;
SE;280130;CAPELA;4151097;02;CENTRO DE SAUDE/UNIDADE BASICA;0002320932;76;EAP - EQUIPE DE ATENÇÃO PRIMÁRIA;28014260;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;
SE;280710;SIMÃO DIAS;2422433;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178462;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28009320;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
SE;280410;MOITA BONITA;2477211;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175811;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28008367;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
SE;280600;RIBEIRÓPOLIS;2497166;02;CENTRO DE SAUDE/UNIDADE BASICA;0002320754;72;ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;28033159;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
SE;280710;SIMÃO DIAS;2422468;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178470;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28009487;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
SE;280760;UMBAÚBA;2421402;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28024214;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
SE;280670;SÃO CRISTÓVÃO;2612356;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178268;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28021290;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280760;UMBAÚBA;2421402;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28024184;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
SE;280530;PIRAMBU;2477149;02;CENTRO DE SAUDE/UNIDADE BASICA;0001542265;72;ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;28016050;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280030;ARACAJU;0002844;02;CENTRO DE SAUDE/UNIDADE BASICA;0000172693;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28031954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
SE;280120;CANINDÉ DE SÃO FRANCISCO;5255236;02;CENTRO DE SAUDE/UNIDADE BASICA;0002105349;71;ESB - EQUIPE DE SAUDE BUCAL;28040406;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280067;BOQUIM;6407641;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28022254;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280030;ARACAJU;0002526;02;CENTRO DE SAUDE/UNIDADE BASICA;0002038455;71;ESB - EQUIPE DE SAUDE BUCAL;28019253;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280480;NOSSA SENHORA DO SOCORRO;2421623;02;CENTRO DE SAUDE/UNIDADE BASICA;0002529580;74;EAPP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL;28020928;0;2;0;2;1;0;0;1;0;2;0;0;0;0;2;
SE;280270;ILHA DAS FLORES;2477181;02;CENTRO DE SAUDE/UNIDADE BASICA;0001838601;71;ESB - EQUIPE DE SAUDE BUCAL;28013107;0;5;0;0;0;0;0;0;0;0;10;0;0;0;0;
SE;280580;RIACHÃO DO DANTAS;2420929;02;CENTRO DE SAUDE/UNIDADE BASICA;0000177628;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28012615;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280760;UMBAÚBA;9865845;02;CENTRO DE SAUDE/UNIDADE BASICA;0001962019;71;ESB - EQUIPE DE SAUDE BUCAL;28033965;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280010;AMPARO DE SÃO FRANCISCO;7009615;02;CENTRO DE SAUDE/UNIDADE BASICA;0000171689;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28012666;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280460;NOSSA SENHORA DAS DORES;6024335;02;CENTRO DE SAUDE/UNIDADE BASICA;0001854364;71;ESB - EQUIPE DE SAUDE BUCAL;28005996;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280240;GARARU;2421216;02;CENTRO DE SAUDE/UNIDADE BASICA;0001780913;71;ESB - EQUIPE DE SAUDE BUCAL;28000846;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;
SE;280270;ILHA DAS FLORES;2477181;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174572;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013123;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
SE;280445;NOSSA SENHORA APARECIDA;3012255;02;CENTRO DE SAUDE/UNIDADE BASICA;0001926683;71;ESB - EQUIPE DE SAUDE BUCAL;28004450;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280750;TOMAR DO GERU;2420422;02;CENTRO DE SAUDE/UNIDADE BASICA;0001810405;71;ESB - EQUIPE DE SAUDE BUCAL;28023986;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280690;SÃO FRANCISCO;2423359;02;CENTRO DE SAUDE/UNIDADE BASICA;0001970313;71;ESB - EQUIPE DE SAUDE BUCAL;28016157;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;
SE;280330;JAPARATUBA;2477459;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175188;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28015266;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280420;MONTE ALEGRE DE SERGIPE;3059170;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175889;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28002130;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;
SE;280710;SIMÃO DIAS;9331077;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178438;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28033400;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;
SE;280020;AQUIDABÃ;4660854;02;CENTRO DE SAUDE/UNIDADE BASICA;0002242443;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28005384;0;0;0;0;1;0;0;0;1;0;0;0;2;1;0;
SE;280030;ARACAJU;0002399;02;CENTRO DE SAUDE/UNIDADE BASICA;0000172030;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28018320;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;
SE;280130;CAPELA;2476959;02;CENTRO DE SAUDE/UNIDADE BASICA;0001517597;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28014120;0;3;0;0;3;0;0;0;3;3;0;0;3;0;0;
SE;280440;NEÓPOLIS;2477920;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175935;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
SE;280410;MOITA BONITA;2477254;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175846;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28008260;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;
SE;280710;SIMÃO DIAS;2422468;02;CENTRO DE SAUDE/UNIDADE BASICA;0001991159;71;ESB - EQUIPE DE SAUDE BUCAL;28009738;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;
SE;280130;CAPELA;2476959;02;CENTRO DE SAUDE/UNIDADE BASICA;0001637711;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28014138;0;0;0;0;2;1;0;0;2;0;1;0;1;0;0;
SE;280740;TOBIAS BARRETO;7685467;02;CENTRO DE SAUDE/UNIDADE BASICA;0001571052;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28027086;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;
SE;280290;ITABAIANA;2477777;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174750;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28033221;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
SE;280480;NOSSA SENHORA DO SOCORRO;2421607;02;CENTRO DE SAUDE/UNIDADE BASICA;0001624016;72;ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;28020634;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;
SE;280620;SALGADO;3337421;02;CENTRO DE SAUDE/UNIDADE BASICA;0002350815;72;ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;28023560;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
SE;280530;PIRAMBU;9450874;74;POLO ACADEMIA DA SAUDE;-;-;-;28015983;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280750;TOMAR DO GERU;9706534;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178683;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28030427;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280160;CEDRO DE SÃO JOÃO;2658593;02;CENTRO DE SAUDE/UNIDADE BASICA;0002000423;71;ESB - EQUIPE DE SAUDE BUCAL;28013000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280760;UMBAÚBA;2421402;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28033973;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
SE;280520;PINHÃO;2546272;02;CENTRO DE SAUDE/UNIDADE BASICA;0001965301;71;ESB - EQUIPE DE SAUDE BUCAL;28028678;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;
SE;280360;LARANJEIRAS;2421313;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175587;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28016467;0;9;0;0;0;0;0;0;0;0;8;0;1;0;0;
SE;280670;SÃO CRISTÓVÃO;2423251;02;CENTRO DE SAUDE/UNIDADE BASICA;0001801139;71;ESB - EQUIPE DE SAUDE BUCAL;28021517;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280240;GARARU;2421232;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174505;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28000846;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280740;TOBIAS BARRETO;2421984;02;CENTRO DE SAUDE/UNIDADE BASICA;0001807285;71;ESB - EQUIPE DE SAUDE BUCAL;28010710;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280210;ESTÂNCIA;2422905;02;CENTRO DE SAUDE/UNIDADE BASICA;0001777165;71;ESB - EQUIPE DE SAUDE BUCAL;28025040;0;7;0;0;0;0;0;0;0;0;14;0;0;0;0;
SE;280290;ITABAIANA;2611929;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174866;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28007468;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
SE;280670;SÃO CRISTÓVÃO;2423200;02;CENTRO DE SAUDE/UNIDADE BASICA;0001717022;76;EAP - EQUIPE DE ATENÇÃO PRIMÁRIA;28021568;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;
SE;280530;PIRAMBU;9450874;74;POLO ACADEMIA DA SAUDE;-;-;-;28016068;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280290;ITABAIANA;2477777;02;CENTRO DE SAUDE/UNIDADE BASICA;0002495880;72;ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;28034090;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280550;POÇO VERDE;2420376;02;CENTRO DE SAUDE/UNIDADE BASICA;0001811851;71;ESB - EQUIPE DE SAUDE BUCAL;28008774;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;
SE;280130;CAPELA;2476916;01;POSTO DE SAUDE;0001855700;71;ESB - EQUIPE DE SAUDE BUCAL;28014642;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280570;PROPRIÁ;2422530;02;CENTRO DE SAUDE/UNIDADE BASICA;0001985949;71;ESB - EQUIPE DE SAUDE BUCAL;28013786;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;
SE;280420;MONTE ALEGRE DE SERGIPE;2420279;02;CENTRO DE SAUDE/UNIDADE BASICA;0002273136;71;ESB - EQUIPE DE SAUDE BUCAL;28001648;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;
SE;280070;BREJO GRANDE;2658429;02;CENTRO DE SAUDE/UNIDADE BASICA;0000173592;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28012780;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;
SE;280120;CANINDÉ DE SÃO FRANCISCO;2477114;02;CENTRO DE SAUDE/UNIDADE BASICA;0000173762;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28030370;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280410;MOITA BONITA;2477254;02;CENTRO DE SAUDE/UNIDADE BASICA;0001839209;71;ESB - EQUIPE DE SAUDE BUCAL;28008260;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;2423286;02;CENTRO DE SAUDE/UNIDADE BASICA;0001801732;71;ESB - EQUIPE DE SAUDE BUCAL;28021363;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;
SE;280020;AQUIDABÃ;2422778;02;CENTRO DE SAUDE/UNIDADE BASICA;0002081490;71;ESB - EQUIPE DE SAUDE BUCAL;28005503;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280750;TOMAR DO GERU;2420457;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178705;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28023820;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;
SE;280050;AREIA BRANCA;2477009;01;POSTO DE SAUDE;0002510154;71;ESB - EQUIPE DE SAUDE BUCAL;28006690;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280140;CARIRA;2546264;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28003853;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280550;POÇO VERDE;2420384;02;CENTRO DE SAUDE/UNIDADE BASICA;0001784943;71;ESB - EQUIPE DE SAUDE BUCAL;28008804;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280020;AQUIDABÃ;4660854;02;CENTRO DE SAUDE/UNIDADE BASICA;0002242443;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28005287;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;
SE;280730;TELHA;2422964;02;CENTRO DE SAUDE/UNIDADE BASICA;0002068141;71;ESB - EQUIPE DE SAUDE BUCAL;28014022;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280120;CANINDÉ DE SÃO FRANCISCO;2477084;02;CENTRO DE SAUDE/UNIDADE BASICA;0002350645;72;ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;28026616;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
SE;280760;UMBAÚBA;2421429;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178772;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28024206;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;2423200;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178098;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28021770;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
SE;280170;CRISTINÁPOLIS;2421003;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174130;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28022599;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;
SE;280130;CAPELA;2476959;02;CENTRO DE SAUDE/UNIDADE BASICA;0001819305;71;ESB - EQUIPE DE SAUDE BUCAL;28014219;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280750;TOMAR DO GERU;3997049;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178713;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28024044;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
SE;280030;ARACAJU;9141588;02;CENTRO DE SAUDE/UNIDADE BASICA;0002014394;71;ESB - EQUIPE DE SAUDE BUCAL;28019350;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;
SE;280130;CAPELA;2476959;02;CENTRO DE SAUDE/UNIDADE BASICA;0001637711;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28014553;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;
SE;280580;RIACHÃO DO DANTAS;3566013;15;UNIDADE MISTA;0000177636;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28012518;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
