Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
" Competência: SET/2025, AGO/2025."
Estado: SE.
"Município: AMPARO DE SÃO FRANCISCO, AQUIDABÃ, ARACAJU, ARAUÁ, AREIA BRANCA, BARRA DOS COQUEIROS, BOQUIM, BREJO GRANDE, CAMPO DO BRITO, CANHOBA, CANINDÉ DE SÃO FRANCISCO, CAPELA, CARIRA, CARMÓPOLIS, CEDRO DE SÃO JOÃO, CRISTINÁPOLIS, CUMBE, DIVINA PASTORA, ESTÂNCIA, FEIRA NOVA, FREI PAULO, GARARU, GENERAL MAYNARD, GRACHO CARDOSO, ILHA DAS FLORES, INDIAROBA, ITABAIANA, ITABAIANINHA, ITABI, ITAPORANGA D'AJUDA, JAPARATUBA, JAPOATÃ, LAGARTO, LARANJEIRAS, MACAMBIRA, MALHADA DOS BOIS, MALHADOR, MARUIM, MOITA BONITA, MONTE ALEGRE DE SERGIPE, MURIBECA, NEÓPOLIS, NOSSA SENHORA APARECIDA, NOSSA SENHORA DA GLÓRIA, NOSSA SENHORA DAS DORES, NOSSA SENHORA DE LOURDES, NOSSA SENHORA DO SOCORRO, PACATUBA, PEDRA MOLE, PEDRINHAS, PINHÃO, PIRAMBU, POÇO REDONDO, POÇO VERDE, PORTO DA FOLHA, PROPRIÁ, RIACHÃO DO DANTAS, RIACHUELO, RIBEIRÓPOLIS, ROSÁRIO DO CATETE, SALGADO, SANTA LUZIA DO ITANHY, SANTA ROSA DE LIMA, SANTANA DO SÃO FRANCISCO, SANTO AMARO DAS BROTAS, SÃO CRISTÓVÃO, SÃO DOMINGOS, SÃO FRANCISCO, SÃO MIGUEL DO ALEIXO, SIMÃO DIAS, SIRIRI, TELHA, TOBIAS BARRETO, TOMAR DO GERU, UMBAÚBA."
"Práticas em Saúde: Antropometria, Aplicação tópica de flúor, Desenvolvimento da linguagem, Escovação dental supervisionada, Outro procedimento coletivo, Programa nacional de controle do tabagismo sessão 1, Programa nacional de controle do tabagismo sessão 2, Programa nacional de controle do tabagismo sessão 3, Programa nacional de controle do tabagismo sessão 4, Práticas corporais / atividade física, Saúde auditiva, Saúde ocular, Verificação da situação vacinal."
"Programa Saúde na Escola: Educação, Saúde."
Nível: INEP (Escolas/Creche).
Tipo Informação: Número de participantes


Uf;Ibge;Municipio;Unidade de Saúde - CNES;Tipo Unidade;Desc Unidade;Equipe - INE;Tipo Equipe;Desc Equipe;INEP (Escolas/Creche);Antropometria;Aplicação tópica de flúor;Desenvolvimento da linguagem;Escovação dental supervisionad;Outro procedimento coletivo;Programa nacional de controle ;Práticas corporais / atividade;Saúde auditiva;Saúde ocular;Verificação da situação vacina;
SE;280020;AQUIDABÃ;2422689;02;CENTRO DE SAUDE/UNIDADE BASICA;0002226812;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28086406;0;0;0;0;61;0;61;0;0;61;
SE;280270;ILHA DAS FLORES;2477181;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174572;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013174;0;0;0;0;0;0;0;0;0;82;
SE;280100;CAMPO DO BRITO;4020715;02;CENTRO DE SAUDE/UNIDADE BASICA;0001981412;71;ESB - EQUIPE DE SAUDE BUCAL;28006810;0;16;0;16;0;0;0;0;0;0;
SE;280640;SANTANA DO SÃO FRANCISCO;4020987;02;CENTRO DE SAUDE/UNIDADE BASICA;0000177997;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013964;0;0;0;0;0;0;15;0;0;0;
SE;280600;RIBEIRÓPOLIS;2497204;01;POSTO DE SAUDE;0000177768;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28033159;0;0;0;0;0;0;0;0;0;45;
SE;280170;CRISTINÁPOLIS;2421003;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174130;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28022548;0;0;0;0;0;0;0;0;0;50;
SE;280350;LAGARTO;5551455;02;CENTRO DE SAUDE/UNIDADE BASICA;0002260557;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28032209;0;0;0;20;0;0;0;0;0;0;
SE;280030;ARACAJU;0002526;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28018958;14;0;0;0;0;0;0;0;0;0;
SE;280440;NEÓPOLIS;2680092;02;CENTRO DE SAUDE/UNIDADE BASICA;0001778943;71;ESB - EQUIPE DE SAUDE BUCAL;28013239;0;50;0;88;0;0;0;0;0;0;
SE;280150;CARMÓPOLIS;7859082;02;CENTRO DE SAUDE/UNIDADE BASICA;0001741284;71;ESB - EQUIPE DE SAUDE BUCAL;28027299;0;28;0;164;0;0;0;0;0;0;
SE;280600;RIBEIRÓPOLIS;2497166;02;CENTRO DE SAUDE/UNIDADE BASICA;0001773763;71;ESB - EQUIPE DE SAUDE BUCAL;28004809;0;135;0;77;0;0;0;0;0;0;
SE;280740;TOBIAS BARRETO;2422069;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178624;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28010868;0;0;0;0;0;0;114;0;0;0;
SE;280630;SANTA LUZIA DO ITANHY;2545837;02;CENTRO DE SAUDE/UNIDADE BASICA;0001882384;71;ESB - EQUIPE DE SAUDE BUCAL;28026039;0;0;0;33;0;0;31;0;0;0;
SE;280150;CARMÓPOLIS;2745208;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174025;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28016173;16;0;0;0;16;0;0;0;0;0;
SE;280350;LAGARTO;2420767;02;CENTRO DE SAUDE/UNIDADE BASICA;0002317060;71;ESB - EQUIPE DE SAUDE BUCAL;28012100;0;174;0;174;0;0;0;0;0;0;
SE;280210;ESTÂNCIA;2477823;02;CENTRO DE SAUDE/UNIDADE BASICA;0001776371;71;ESB - EQUIPE DE SAUDE BUCAL;28024680;0;0;0;31;0;0;0;0;0;0;
SE;280760;UMBAÚBA;2421410;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178764;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28024354;33;0;0;0;0;0;0;0;0;0;
SE;280320;ITAPORANGA D'AJUDA;2422816;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28025512;16;0;0;0;0;0;0;0;0;0;
SE;280290;ITABAIANA;3281329;02;CENTRO DE SAUDE/UNIDADE BASICA;0002384450;71;ESB - EQUIPE DE SAUDE BUCAL;28007131;0;23;0;0;0;0;0;0;0;0;
SE;280030;ARACAJU;0002429;02;CENTRO DE SAUDE/UNIDADE BASICA;0000172103;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28031679;0;72;0;72;72;0;72;0;0;72;
SE;280410;MOITA BONITA;2477203;02;CENTRO DE SAUDE/UNIDADE BASICA;0001838997;71;ESB - EQUIPE DE SAUDE BUCAL;28008383;0;44;0;44;19;0;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;2423227;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178187;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28021100;50;0;0;0;0;0;0;0;0;0;
SE;280020;AQUIDABÃ;2422670;02;CENTRO DE SAUDE/UNIDADE BASICA;0001495232;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28005333;0;0;0;0;16;0;0;0;0;16;
SE;280320;ITAPORANGA D'AJUDA;2422816;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175056;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28025423;0;0;0;0;0;0;0;0;0;39;
SE;280460;NOSSA SENHORA DAS DORES;2476878;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28006020;0;0;0;0;0;0;0;0;0;25;
SE;280067;BOQUIM;7725205;02;CENTRO DE SAUDE/UNIDADE BASICA;0001907751;71;ESB - EQUIPE DE SAUDE BUCAL;28022181;0;0;0;10;0;0;0;0;0;0;
SE;280320;ITAPORANGA D'AJUDA;2422816;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175064;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28025873;0;0;0;0;0;0;0;0;0;12;
SE;280550;POÇO VERDE;2420384;02;CENTRO DE SAUDE/UNIDADE BASICA;0001784943;71;ESB - EQUIPE DE SAUDE BUCAL;28008693;0;21;0;21;0;0;0;0;0;0;
SE;280300;ITABAIANINHA;2421275;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174890;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28022653;0;0;0;0;0;0;0;0;0;70;
SE;280440;NEÓPOLIS;5147948;02;CENTRO DE SAUDE/UNIDADE BASICA;0001546147;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013352;17;0;0;0;0;0;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;2423286;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178225;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28021363;78;0;0;0;0;0;0;0;0;0;
SE;280480;NOSSA SENHORA DO SOCORRO;2421623;02;CENTRO DE SAUDE/UNIDADE BASICA;0002529580;74;EAPP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL;28029690;0;0;0;0;0;0;0;0;0;37;
SE;280600;RIBEIRÓPOLIS;2421240;01;POSTO DE SAUDE;0001773712;71;ESB - EQUIPE DE SAUDE BUCAL;28004906;0;152;0;87;0;0;0;0;0;0;
SE;280300;ITABAIANINHA;9305866;02;CENTRO DE SAUDE/UNIDADE BASICA;0001630318;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28022831;0;0;0;0;0;0;0;0;0;136;
SE;280170;CRISTINÁPOLIS;7899394;01;POSTO DE SAUDE;0002340445;71;ESB - EQUIPE DE SAUDE BUCAL;28022483;0;144;0;144;84;0;0;0;0;0;
SE;280540;POÇO REDONDO;2420112;02;CENTRO DE SAUDE/UNIDADE BASICA;0001617893;72;ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;28002237;0;0;0;0;0;0;415;0;0;0;
SE;280710;SIMÃO DIAS;2422328;02;CENTRO DE SAUDE/UNIDADE BASICA;0001991450;71;ESB - EQUIPE DE SAUDE BUCAL;28009835;0;71;0;20;0;0;0;0;0;0;
SE;280480;NOSSA SENHORA DO SOCORRO;2421623;02;CENTRO DE SAUDE/UNIDADE BASICA;0002529580;74;EAPP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL;28026519;0;0;36;42;0;0;0;0;0;85;
SE;280140;CARIRA;2546264;02;CENTRO DE SAUDE/UNIDADE BASICA;0002196751;71;ESB - EQUIPE DE SAUDE BUCAL;28003560;0;68;0;68;0;0;0;0;0;0;
SE;280440;NEÓPOLIS;2658615;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175951;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013336;13;0;0;0;0;0;0;13;13;13;
SE;280030;ARACAJU;0003115;02;CENTRO DE SAUDE/UNIDADE BASICA;0000172731;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28018842;280;0;0;0;0;0;0;0;12;315;
SE;280030;ARACAJU;0003387;02;CENTRO DE SAUDE/UNIDADE BASICA;0002116855;71;ESB - EQUIPE DE SAUDE BUCAL;28027825;0;288;0;288;0;0;0;0;0;0;
SE;280600;RIBEIRÓPOLIS;2497204;01;POSTO DE SAUDE;0001773690;71;ESB - EQUIPE DE SAUDE BUCAL;28033159;0;188;0;180;0;0;0;0;0;0;
SE;280300;ITABAIANINHA;2421275;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174890;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28022750;0;0;0;0;0;0;0;0;0;44;
SE;280300;ITABAIANINHA;3323161;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174971;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28026926;0;0;0;0;0;0;0;0;0;49;
SE;280280;INDIAROBA;3539148;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174645;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28025369;56;0;0;0;0;0;0;0;0;0;
SE;280760;UMBAÚBA;2421429;02;CENTRO DE SAUDE/UNIDADE BASICA;0002221195;71;ESB - EQUIPE DE SAUDE BUCAL;28024281;0;18;0;18;0;0;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;2423251;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178209;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28021517;40;0;0;0;0;0;40;0;0;0;
SE;280320;ITAPORANGA D'AJUDA;2422794;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175013;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28025474;11;0;0;0;0;0;0;0;0;25;
SE;280030;ARACAJU;0002259;02;CENTRO DE SAUDE/UNIDADE BASICA;0000171794;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28017404;30;0;0;0;0;0;0;0;19;0;
SE;280480;NOSSA SENHORA DO SOCORRO;2421666;02;CENTRO DE SAUDE/UNIDADE BASICA;0001968718;71;ESB - EQUIPE DE SAUDE BUCAL;28020677;0;0;0;23;0;0;0;0;0;0;
SE;280300;ITABAIANINHA;3323161;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28026926;0;0;0;0;0;0;0;0;0;548;
SE;280600;RIBEIRÓPOLIS;2421240;01;POSTO DE SAUDE;0001773712;71;ESB - EQUIPE DE SAUDE BUCAL;28033159;0;4;0;4;0;0;0;0;0;0;
SE;280670;SÃO CRISTÓVÃO;2612356;02;CENTRO DE SAUDE/UNIDADE BASICA;0001802933;71;ESB - EQUIPE DE SAUDE BUCAL;28021495;0;35;0;35;0;0;0;0;0;0;
SE;280300;ITABAIANINHA;3000346;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174912;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28023056;0;0;0;0;0;0;0;0;0;78;
SE;280630;SANTA LUZIA DO ITANHY;2423413;02;CENTRO DE SAUDE/UNIDADE BASICA;0000177911;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28032071;73;0;0;0;0;0;0;0;0;100;
SE;280130;CAPELA;2476959;02;CENTRO DE SAUDE/UNIDADE BASICA;0001637711;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28014553;0;0;0;0;0;0;0;0;0;83;
SE;280030;ARACAJU;0002798;02;CENTRO DE SAUDE/UNIDADE BASICA;0002116871;71;ESB - EQUIPE DE SAUDE BUCAL;28018575;0;0;0;75;0;0;0;0;0;0;
SE;280580;RIACHÃO DO DANTAS;3566013;15;UNIDADE MISTA;0000177636;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28012518;0;22;0;22;0;0;0;0;0;0;
SE;280420;MONTE ALEGRE DE SERGIPE;2420295;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175870;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28001443;0;0;0;0;0;0;62;0;0;0;
SE;280130;CAPELA;2476916;01;POSTO DE SAUDE;0000173843;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28032632;0;0;0;0;0;0;32;0;0;0;
SE;280600;RIBEIRÓPOLIS;2497166;02;CENTRO DE SAUDE/UNIDADE BASICA;0001773801;71;ESB - EQUIPE DE SAUDE BUCAL;28034058;0;0;0;139;0;0;0;0;0;0;
SE;280420;MONTE ALEGRE DE SERGIPE;2420295;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175870;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28001389;0;0;0;0;0;0;35;0;0;0;
SE;280450;NOSSA SENHORA DA GLÓRIA;2421119;02;CENTRO DE SAUDE/UNIDADE BASICA;0002500442;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28036395;0;0;0;0;0;0;0;0;0;405;
SE;280300;ITABAIANINHA;2421283;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174904;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28022840;0;0;0;0;0;0;0;0;0;154;
SE;280170;CRISTINÁPOLIS;2420953;01;POSTO DE SAUDE;0001821075;71;ESB - EQUIPE DE SAUDE BUCAL;28022548;0;18;0;18;0;0;0;0;0;0;
SE;280030;ARACAJU;0003115;02;CENTRO DE SAUDE/UNIDADE BASICA;0002014068;71;ESB - EQUIPE DE SAUDE BUCAL;28018842;0;0;0;31;0;0;0;0;0;0;
SE;280480;NOSSA SENHORA DO SOCORRO;2421623;02;CENTRO DE SAUDE/UNIDADE BASICA;0002529580;74;EAPP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL;28036778;0;0;0;0;0;0;0;0;0;40;
SE;280440;NEÓPOLIS;2680092;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175978;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013239;11;0;0;0;0;0;0;0;0;11;
SE;280250;GENERAL MAYNARD;7806361;01;POSTO DE SAUDE;0001750178;71;ESB - EQUIPE DE SAUDE BUCAL;28016262;0;0;0;40;0;0;0;0;0;0;
SE;280710;SIMÃO DIAS;2422263;02;CENTRO DE SAUDE/UNIDADE BASICA;0001530720;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28009312;0;0;0;0;0;0;0;0;0;46;
SE;280270;ILHA DAS FLORES;2477181;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174564;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013107;0;0;0;0;0;0;0;0;384;21;
SE;280260;GRACHO CARDOSO;2612224;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174556;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28001125;0;0;0;0;0;0;0;0;26;40;
SE;280270;ILHA DAS FLORES;2477181;02;CENTRO DE SAUDE/UNIDADE BASICA;0001839845;71;ESB - EQUIPE DE SAUDE BUCAL;28013174;0;54;0;54;0;0;0;0;0;0;
